iter	Passed	Remaining
0	2	279
1	8	413
2	12	400
3	13	333
4	31	607
5	35	548
6	40	541
7	45	522
8	47	479
9	49	441
10	51	414
11	57	420
12	59	396
13	61	375
14	62	356
15	64	339
16	66	325
17	69	316
18	71	305
19	73	294
20	75	284
21	77	275
22	79	267
23	82	261
24	86	260
25	88	253
26	90	244
27	92	236
28	94	231
29	96	224
30	98	219
31	100	213
32	102	207
33	104	202
34	106	197
35	107	191
36	109	187
37	113	184
38	115	180
39	116	175
40	118	170
41	119	164
42	120	159
43	122	156
44	124	151
45	126	148
46	128	145
47	130	141
48	131	137
49	133	133
50	136	130
51	138	127
52	139	124
53	144	122
54	145	119
55	148	116
56	152	115
57	160	115
58	162	113
59	164	109
60	166	106
61	169	103
62	173	101
63	175	98
64	177	95
65	183	94
66	187	92
67	190	89
68	192	86
69	194	83
70	198	81
71	200	78
72	202	75
73	204	71
74	206	68
75	208	65
76	211	63
77	214	60
78	216	57
79	218	54
80	220	51
81	222	48
82	224	46
83	228	43
84	230	40
85	233	38
86	235	35
87	237	32
88	241	29
89	243	27
90	246	24
91	249	21
92	251	18
93	254	16
94	256	13
95	259	10
96	262	8
97	265	5
98	267	2
99	269	0
